1,96.0
2,96.0
3,96.0
4,96.0
5,96.0
6,96.0
7,96.0
8,98.0
9,96.0
10,98.0
11,96.0
12,98.0
13,98.0
14,98.0
15,98.0
16,98.0
17,98.0
18,98.0
19,98.0
20,98.0
21,98.0
22,98.0
23,98.0
24,98.0
25,98.0
26,98.0
27,98.0
28,98.0
29,96.0
30,96.0
31,96.0
32,96.0
33,96.0
34,96.0
35,96.0
36,96.0
37,94.0
38,96.0
39,96.0
40,96.0
41,96.0
42,96.0
43,96.0
44,96.0
45,96.0
46,96.0
47,96.0
48,92.0
49,92.0
50,90.0
51,92.0
52,90.0
53,92.0
54,90.0
55,92.0
56,90.0
57,92.0
58,90.0
59,90.0
60,92.0
61,92.0
62,92.0
63,90.0
64,90.0
65,90.0
66,66.0
67,66.0
68,66.0
69,66.0
70,64.0
71,66.0
72,66.0
73,62.0
74,62.0
75,62.0
76,62.0
77,64.0
78,64.0
79,62.0
80,62.0
81,62.0
82,62.0
83,62.0
84,62.0
85,62.0
86,62.0
87,62.0
88,62.0
89,62.0
90,62.0
91,62.0
92,62.0
93,62.0
94,58.0
95,58.0
96,56.0
97,50.0
98,50.0
99,32.0
100,32.0
